location_type,date_posted,square_feet,price,beds,baths,rent_buy,type,formatted_google_address,address_components,website,lot_size,geometry,mapid,neighborhood,break_and_enter_commercial,break_and_enter_residential_other,mischief,other_theft,theft_from_vehicle,theft_of_bicycle,theft_of_vehicle,vehicle_collision_or_pedestrian_struck_with_injury,postal_code,lng,lat,sky_train,bus_stop,parks,schools,commercial_services,food_beverages,convenience_stores
APPROXIMATE,2022-12-29,730,2700,2,2,rent,Apartment,"Vancouver, BC V5R 3K9, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.053437, 49.2417907)",RC,Renfrew-Collingwood,87,93,254,1311,412,51,77,60,V5R 3K9,-123.053437,49.2417907,601.0284919717532,83.75198789461064,588.5742104777911,136.98190534982686,102,27,0
ROOFTOP,2023-01-16,2500,11995,4,3,rent,House,"3468 W 37th Ave, Vancouver, BC V6N 2V6, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1813271, 49.238332)",DS,Dunbar-Southlands,16,26,42,78,72,13,14,12,V6N 2V6,-123.1813271,49.238332,4763.456234774594,282.62876178828947,827.0503936343574,597.881154354033,29,11,2
ROOFTOP,2023-01-25,665,2700,1,1,rent,Apartment,"550 E 15th Ave, Vancouver, BC V5T 2R5, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.0927098, 49.2571392)",MP,Mount Pleasant,144,121,303,602,467,133,71,65,V5T 2R5,-123.0927098,49.2571392,1386.816842521954,39.61893782854621,136.28552566094493,332.94291195315316,96,37,0
ROOFTOP,2023-01-12,1100,3300,2,2,rent,Apartment,"1111 Haro St, Vancouver, BC V6E 1E3, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1262749, 49.2844224)",WE,West End,219,31,466,832,566,202,53,57,V6E 1E3,-123.1262749,49.2844224,506.3981059806861,154.5909464521937,184.39795280696578,296.484354885926,67,190,0
ROOFTOP,2023-01-17,1157,5785,2,1,rent,Apartment,"89 Nelson St, Vancouver, BC V6Z 0E7, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1150309, 49.2749198)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6Z 0E7,-123.1150309,49.2749198,515.0819992774634,89.22428767999956,158.47196295915478,316.6336429290951,112,100,0
ROOFTOP,2023-01-17,868,3500,2,1,rent,Apartment,"87 Nelson St, Vancouver, BC V6Z 0E8, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1151479, 49.2746415)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6Z 0E8,-123.1151479,49.2746415,504.64140351878035,69.93200056119247,149.3118128054855,348.5739815018253,111,95,0
ROOFTOP,2023-01-17,513,2750,1,1,rent,Apartment,"87 Nelson St, Vancouver, BC V6Z 0E8, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1151479, 49.2746415)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6Z 0E8,-123.1151479,49.2746415,504.64140351878035,69.93200056119247,149.3118128054855,348.5739815018253,111,95,0
ROOFTOP,2023-01-20,601,2600,1,1,rent,Apartment,"161 W Georgia St, Vancouver, BC V6B 0K9, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1117482, 49.2787913)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6B 0K9,-123.1117482,49.27879129999999,192.86663128546394,128.120940370681,410.8705028087368,183.43108765012778,95,168,2
ROOFTOP,2023-01-18,755,2200,1,1,rent,Apartment,"Smart Gastown, 168 Powell St, Vancouver, BC V6A 0B2, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1007357, 49.2829941)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6A 0B2,-123.1007357,49.2829941,743.9596119486519,79.99542217287862,170.9276505393082,645.8696123637286,250,190,2
ROOFTOP,2023-01-25,555,2000,1,1,rent,Apartment,"4078 Knight St, Vancouver, BC V5N, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.0753693, 49.2489333)",KC,Kensington-Cedar Cottage,49,59,202,277,358,46,73,71,V5N,-123.0753693,49.2489333,1418.5521779062644,42.052237512762304,156.48085395238368,454.1815641634785,130,57,0
ROOFTOP,2023-01-25,700,2500,2,1,rent,House,"784 E 62nd Ave, Vancouver, BC V5X 2G5, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.0887619, 49.2136967)",SUN,Sunset,40,53,128,862,295,24,64,69,V5X 2G5,-123.0887619,49.2136967,2106.7970473814603,167.32919504569898,387.3227400426978,418.95579561556997,0,0,0
ROOFTOP,2023-01-04,700,2500,1,1,rent,Apartment,"1082 Seymour St, Vancouver, BC V6B 1X9, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1231182, 49.2776471)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6B 1X9,-123.1231182,49.2776471,358.9503126280133,143.98562057902268,63.61005639269446,408.83422694027314,309,421,21
ROOFTOP,2023-01-25,700,3150,2,2,rent,Apartment,"7638 Cambie St, Vancouver, BC V6P 3H7, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1164036, 49.2156776)",MARP,Marpole,47,81,105,227,232,33,41,45,V6P 3H7,-123.1164036,49.2156776,670.0556211134877,35.873080949240766,154.68018669298925,581.8865403545175,6,3,0
ROOFTOP,2023-01-18,800,3600,2,2,rent,Apartment,"535 Smithe St, Vancouver, BC V6B 0H2, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.119668, 49.2794455)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6B 0H2,-123.119668,49.27944549999999,346.4968882121288,154.73973559725724,89.59050526532175,436.0826057904194,181,327,15
ROOFTOP,2023-01-04,1050,3500,2,2,rent,Apartment,"8031 Nunavut Ln, Vancouver, BC V5X 0C9, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1165962, 49.2115356)",MARP,Marpole,47,81,105,227,232,33,41,45,V5X 0C9,-123.1165962,49.2115356,210.15259446023538,123.35952958280424,311.8733656338401,226.6322466787785,35,28,2
ROOFTOP,2023-01-19,396,2400,0,1,rent,Apartment,"1367 Alberni St, Vancouver, BC V6E 4R9, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1282836, 49.2885264)",WE,West End,219,31,466,832,566,202,53,57,V6E 4R9,-123.1282836,49.28852639999999,712.7164137526573,32.418481438624816,326.0959650048481,611.0225416696787,42,170,2
ROOFTOP,2023-01-04,582,2730,1,1,rent,Apartment,"1022 Nelson St, Vancouver, BC V6E 4S7, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1271414, 49.2816052)",WE,West End,219,31,466,832,566,202,53,57,V6E 4S7,-123.1271414,49.28160519999999,654.8151150683709,83.00461531764766,324.0527425977348,158.55296051986795,179,394,17
ROOFTOP,2023-01-22,1000,2400,2,1,rent,Apartment,"2840 Courtenay St, Vancouver, BC V6R 3X7, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.199887, 49.2615269)",WPG,West Point Grey,5,9,20,15,20,2,3,9,V6R 3X7,-123.199887,49.2615269,5843.435777333749,233.4351604482551,758.9879734810426,396.1855139731143,28,4,0
ROOFTOP,2023-01-20,600,2400,1,1,rent,Apartment,"3438 W Sawmill Cres, Vancouver, BC V5S, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.03275, 49.20579)",KIL,Killarney,34,31,79,115,137,16,35,38,V5S,-123.03275,49.20579,3027.747020452579,165.12941382747667,302.89524895087584,935.6263108989322,12,8,1
APPROXIMATE,2022-12-29,858,3550,2,2,rent,Apartment,"Vancouver, BC V6P 4Z2, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1400128, 49.2140594)",MARP,Marpole,47,81,105,227,232,33,41,45,V6P 4Z2,-123.1400128,49.2140594,1745.4255426461648,48.21215776310094,310.57987619366946,185.57479312119062,74,56,0
ROOFTOP,2023-01-06,691,3550,2,2,rent,Apartment,"333 E 11th Ave, Vancouver, BC V5T 0H1, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.097496, 49.2613849)",MP,Mount Pleasant,144,121,303,602,467,133,71,65,V5T 0H1,-123.097496,49.2613849,1269.7822971899054,135.73248551625946,342.9823458641711,312.04875999738323,139,152,1
ROOFTOP,2023-01-25,700,2400,1,1,rent,Apartment,"1221 Homer St, Vancouver, BC V6B 1C5, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1238717, 49.2752273)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6B 1C5,-123.1238717,49.2752273,153.9644258401217,96.60547371967418,211.75644103324552,347.4959419942245,230,279,19
ROOFTOP,2023-01-25,650,2375,1,1,rent,Apartment,"1221 Homer St, Vancouver, BC V6B 1C5, Canada","<list<
  tbl_df<
    long_name : character
    short_name: character
    types     : list<character>
  >
>>",craigslist,0,"c(-123.1238717, 49.2752273)",CBD,Downtown,558,86,1787,2816,2319,348,96,152,V6B 1C5,-123.1238717,49.2752273,153.9644258401217,96.60547371967418,211.75644103324552,347.4959419942245,230,279,19
